Gender,Age,Education,Income,Income2,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings
Female,25,6,"$30,001 to $60,000",30-60k,Clerical or service worker,VIC,single,4.8,Q4,3.2,2.066666667,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Female,31,8,"$120,001 to $150,000",>120k,professional,WA,married,3.3,Q1,3.4,2,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes
Male,21,3,"$90,001 to $120,000",90-120k,NA,NSW,single,3.4,Q2,3.066666667,1.233333333,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no
Female,18,2,"$30,001 to $60,000",30-60k,unemployed,NSW,single,2.633333333,Q1,3.4,2.166666667,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Male,61,3,"Less than $30,000",<30k,retired,WA,married,3.4,Q2,3.733333333,1.724137931,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
Female,63,7,"$30,001 to $60,000",30-60k,retired,QLD,married,4.4,Q4,4.266666667,3.3,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no
Male,58,2,"Less than $30,000",<30k,retired,Tas,separated or divorced,3.433333333,Q2,3.266666667,3.666666667,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes
Male,41,8,"$30,001 to $60,000",30-60k,manager or administrator,VIC,living with a partner,4.266666667,Q4,4.266666667,3.235294118,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes
Female,36,8,"$90,001 to $120,000",90-120k,manager or administrator,NSW,separated or divorced,3.7,Q2,2.933333333,2.740740741,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes
Female,56,2,"$30,001 to $60,000",30-60k,retired,NSW,married,4.166666667,Q3,3.6,2.75,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
Male,30,8,"$120,001 to $150,000",>120k,professional,VIC,living with a partner,4.133333333,Q3,3.6,2.933333333,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,40,6,"$120,001 to $150,000",>120k,manager or administrator,NSW,living with a partner,4.333333333,Q4,3.933333333,3.172413793,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes
Female,75,4,"Less than $30,000",<30k,retired,SA,widowed,4.066666667,Q3,4.066666667,3.466666667,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no
Female,50,7,"Less than $30,000",<30k,unemployed,NSW,separated or divorced,4.666666667,Q4,4.2,3.714285714,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Male,62,3,"Less than $30,000",<30k,sales,WA,married,4.133333333,Q3,3.933333333,3.074074074,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes
Male,33,3,"Less than $30,000",<30k,professional,WA,separated or divorced,3.633333333,Q2,4.133333333,2,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
Female,55,1,"$30,001 to $60,000",30-60k,sales,VIC,married,3.3,Q1,4.133333333,3.5,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no
Male,51,8,"$90,001 to $120,000",90-120k,professional,NSW,single,3.933333333,Q3,4.2,3.461538462,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes
Male,69,7,"$120,001 to $150,000",>120k,professional,VIC,married,4.066666667,Q3,3.666666667,2.592592593,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no
Male,23,6,"Less than $30,000",<30k,unemployed,QLD,single,3.866666667,Q3,3.133333333,3.733333333,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no
Male,42,6,"$60,001 to $90,000",60-90k,tradesperson,NSW,married,3.633333333,Q2,3.6,1.966666667,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
Female,35,7,"$90,001 to $120,000",90-120k,manager or administrator,VIC,living with a partner,3.8,Q2,4.666666667,2.966666667,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes
Male,33,7,"$90,001 to $120,000",90-120k,manager or administrator,VIC,single,4.6,Q4,4.133333333,4,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes
Female,37,1,NA,NA,professional,VIC,living with a partner,4.5,Q4,3.4,2.833333333,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Male,57,6,"$60,001 to $90,000",60-90k,professional,SA,married,4.433333333,Q4,4.266666667,2.653846154,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no
Male,45,6,"$60,001 to $90,000",60-90k,manager or administrator,NSW,married,3.066666667,Q1,2.933333333,2.3,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,26,7,NA,NA,professional,VIC,living with a partner,4.366666667,Q4,3.4,3.44,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no
Male,42,7,"$90,001 to $120,000",90-120k,manager or administrator,VIC,married,3.333333333,Q1,4.2,1.8,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Male,27,7,"$30,001 to $60,000",30-60k,professional,VIC,single,3.666666667,Q2,3.6,2.277777778,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Male,43,8,"$90,001 to $120,000",90-120k,professional,WA,married,3.766666667,Q2,3.466666667,3.142857143,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no
Male,41,7,"$90,001 to $120,000",90-120k,manager or administrator,QLD,married,3.7,Q2,3.066666667,2.533333333,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,yes
Female,37,7,"$60,001 to $90,000",60-90k,manager or administrator,VIC,married,4.033333333,Q3,4.266666667,2.933333333,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes
Male,38,7,"$180,001 to $210,000",>120k,manager or administrator,NSW,married,2.933333333,Q1,3.2,2.366666667,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes
Female,39,8,"$30,001 to $60,000",30-60k,professional,NSW,single,3.6,Q2,3.666666667,3.366666667,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Male,22,3,"$120,001 to $150,000",>120k,Clerical or service worker,ACT,single,4.633333333,Q4,4.4,3.866666667,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
Male,48,8,NA,NA,small business owner,QLD,married,3.3,Q1,2.933333333,2.1,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Male,56,8,"$90,001 to $120,000",90-120k,manager or administrator,NSW,married,3.166666667,Q1,3.133333333,2.233333333,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes
Male,70,8,"$60,001 to $90,000",60-90k,professional,NSW,living with a partner,4,Q3,3.133333333,2.875,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Male,25,4,"$120,001 to $150,000",>120k,manager or administrator,NSW,single,2.266666667,Q1,3.066666667,2.379310345,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Male,58,4,"$180,001 to $210,000",>120k,small business owner,NSW,married,3.233333333,Q1,2.866666667,3,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes
Female,27,8,"$90,001 to $120,000",90-120k,NA,NSW,living with a partner,3.933333333,Q3,3.533333333,2.352941176,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes
Female,25,6,"$60,001 to $90,000",60-90k,professional,NSW,living with a partner,3.766666667,Q2,4.2,3.714285714,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes
Male,38,3,"$90,001 to $120,000",90-120k,manager or administrator,QLD,living with a partner,3.733333333,Q2,3.933333333,2.25,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Female,37,7,"$90,001 to $120,000",90-120k,manager or administrator,SA,living with a partner,3.4,Q2,3.6,1.766666667,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,18,7,NA,NA,NA,QLD,single,3.966666667,Q3,3.733333333,3.157894737,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes
