,ID,Gender,Age,Education,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings,Income(k$),Expenditure
0,1,Female,25,6.0,Clerical or service worker,VIC,single,4.8,Q4,3.2,2.066666667,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,15.0,39.0
1,2,Female,31,8.0,professional,WA,married,3.3,Q1,3.4,2.0,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,15.0,81.0
2,3,Male,21,3.0,,NSW,single,3.4,Q2,3.066666667,1.233333333,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,16.0,6.0
3,4,Female,18,2.0,unemployed,NSW,single,2.633333333,Q1,3.4,2.166666667,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,16.0,77.0
4,5,Male,61,3.0,retired,WA,married,3.4,Q2,3.733333333,1.724137931,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,17.0,40.0
5,6,Female,63,7.0,retired,QLD,married,4.4,Q4,4.266666667,3.3,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,17.0,76.0
6,7,Male,58,2.0,retired,Tas,separated or divorced,3.433333333,Q2,3.266666667,3.666666667,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,18.0,6.0
7,8,Male,41,8.0,manager or administrator,VIC,living with a partner,4.266666667,Q4,4.266666667,3.235294118,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,18.0,94.0
8,9,Female,36,8.0,manager or administrator,NSW,separated or divorced,3.7,Q2,2.933333333,2.740740741,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,19.0,3.0
9,10,Female,56,2.0,retired,NSW,married,4.166666667,Q3,3.6,2.75,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,19.0,72.0
10,11,Male,30,8.0,professional,VIC,living with a partner,4.133333333,Q3,3.6,2.933333333,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,19.0,14.0
11,12,Male,40,6.0,manager or administrator,NSW,living with a partner,4.333333333,Q4,3.933333333,3.172413793,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,19.0,99.0
12,13,Female,75,4.0,retired,SA,widowed,4.066666667,Q3,4.066666667,3.466666667,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,20.0,15.0
13,14,Female,50,7.0,unemployed,NSW,separated or divorced,4.666666667,Q4,4.2,3.714285714,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,20.0,77.0
14,15,Male,62,3.0,sales,WA,married,4.133333333,Q3,3.933333333,3.074074074,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,20.0,13.0
15,16,Male,33,3.0,professional,WA,separated or divorced,3.633333333,Q2,4.133333333,2.0,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,20.0,79.0
16,17,Female,55,1.0,sales,VIC,married,3.3,Q1,4.133333333,3.5,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,21.0,35.0
17,18,Male,51,8.0,professional,NSW,single,3.933333333,Q3,4.2,3.461538462,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,21.0,66.0
18,19,Male,69,7.0,professional,VIC,married,4.066666667,Q3,3.666666667,2.592592593,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,23.0,29.0
19,20,Male,23,6.0,unemployed,QLD,single,3.866666667,Q3,3.133333333,3.733333333,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,23.0,98.0
20,21,Male,42,6.0,tradesperson,NSW,married,3.633333333,Q2,3.6,1.966666667,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,24.0,35.0
21,22,Female,35,7.0,manager or administrator,VIC,living with a partner,3.8,Q2,4.666666667,2.966666667,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,24.0,73.0
22,23,Male,33,7.0,manager or administrator,VIC,single,4.6,Q4,4.133333333,4.0,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,25.0,5.0
23,24,Female,37,1.0,professional,VIC,living with a partner,4.5,Q4,3.4,2.833333333,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,25.0,73.0
24,25,Male,57,6.0,professional,SA,married,4.433333333,Q4,4.266666667,2.653846154,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,28.0,14.0
25,26,Male,45,6.0,manager or administrator,NSW,married,3.066666667,Q1,2.933333333,2.3,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,28.0,82.0
